Ocupação;Quantitativo;Porcentagem;Data de carga
Locutor e Comentarista de Rádio e Televisão e Radialista;89;0,005;13/11/2024 10:55
Biomédico;7;0,0004;13/11/2024 10:55
Representante Comercial;93;0,0052;13/11/2024 10:55
Serralheiro;9;0,0005;13/11/2024 10:55
Cientista Político;6;0,0003;13/11/2024 10:55
Coreógrafo e Bailarino;2;0,0001;13/11/2024 10:55
Astrônomo;7;0,0004;13/11/2024 10:55
Farmacêutico;31;0,0017;13/11/2024 10:55
Chaveiro;2;0,0001;13/11/2024 10:55
Diretor de Empresas;17;0,0009;13/11/2024 10:55
Empregado Doméstico;13;0,0007;13/11/2024 10:55
Comerciário;46;0,0026;13/11/2024 10:55
Telefonista;12;0,0007;13/11/2024 10:55
Agente de Saúde e Sanitarista;58;0,0032;13/11/2024 10:55
Biólogo;15;0,0008;13/11/2024 10:55
Relações-Públicas;10;0,0006;13/11/2024 10:55
Odontólogo;63;0,0035;13/11/2024 10:55
Produtor Agropecuário;46;0,0026;13/11/2024 10:55
Industrial;11;0,0006;13/11/2024 10:55
Lavador de Veículos;1;0,0001;13/11/2024 10:55
Bibliotecário;5;0,0003;13/11/2024 10:55
Membro das Forças Armadas;49;0,0027;13/11/2024 10:55
Marinheiro Civil, Canoeiro, Embarcado e Assemelhados;4;0,0002;13/11/2024 10:55
Comerciante;707;0,0393;13/11/2024 10:55
Deputado;626;0,0348;13/11/2024 10:55
Servidor Público Estadual;433;0,0241;13/11/2024 10:55
Professor de Ensino Superior;218;0,0121;13/11/2024 10:55
Motoboy;21;0,0012;13/11/2024 10:55
Técnico em Agronomia e Agrimensura;12;0,0007;13/11/2024 10:55
Psicólogo;54;0,003;13/11/2024 10:55
Motorista de Veículos de Transporte Coletivo de Passageiros;85;0,0047;13/11/2024 10:55
Trabalhador de Fabricação de Roupas;1;0,0001;13/11/2024 10:55
Fotógrafo e Assemelhados;29;0,0016;13/11/2024 10:55
Agricultor;174;0,0097;13/11/2024 10:55
Ator e Diretor de Espetáculos Públicos;25;0,0014;13/11/2024 10:55
Arquiteto;36;0,002;13/11/2024 10:55
Servidor Público Federal;163;0,0091;13/11/2024 10:55
Jornalista e Redator;199;0,0111;13/11/2024 10:55
Estatístico;2;0,0001;13/11/2024 10:55
Produtor de Espetáculos Públicos;22;0,0012;13/11/2024 10:55
Trabalhador de Usinagem de Metais;2;0,0001;13/11/2024 10:55
Trabalhador de Construção Civil;31;0,0017;13/11/2024 10:55
Terapeuta;10;0,0006;13/11/2024 10:55
Relojoeiro e Montador de Instrumento de Precisão;1;0,0001;13/11/2024 10:55
Bombeiro Civil;13;0,0007;13/11/2024 10:55
Operador de Instalação de Produção de Energia Elétrica e Nuclear;3;0,0002;13/11/2024 10:55
Alfaiate e Costureiro;3;0,0002;13/11/2024 10:55
Piloto de Aviação Comercial, Navegador, Mecânico de Vôo e Assemelhados;1;0,0001;13/11/2024 10:55
