Ocupação;Quantitativo;Porcentagem;Ano
PUBLICITARIO;50;0,0039;2002
ENGRAXATE;1;0,0001;2002
EMPRESARIO;731;0,0574;2002
COMERCIANTE;1006;0,079;2002
VIGILANTE;56;0,0044;2002
OPERADOR DE COMPUTADOR;10;0,0008;2002
MONTADOR DE MAQUINAS;1;0,0001;2002
TECNICO DE MINERACAO, METALURGIA E GEOLOGIA;5;0,0004;2002
AUXILIAR DE LABORATORIO;5;0,0004;2002
ALFAIATE E COSTUREIRO;7;0,0005;2002
ARTESAO;13;0,001;2002
DESPACHANTE;18;0,0014;2002
TRABALHADOR DE FABRICACAO DE ROUPAS;1;0,0001;2002
MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA;40;0,0031;2002
REPRESENTANTE COMERCIAL;86;0,0068;2002
ESTUDANTE,BOLSISTA, ESTAGIARIO E ASSEMELHADOS;193;0,0152;2002
MILITAR REFORMADO;110;0,0086;2002
PECUARISTA;102;0,008;2002
LOCUTOR E COMENTARISTA DE RADIO E TELEVISAO E RADIALISTA;129;0,0101;2002
TRABALHADOR DE HOTELARIA;3;0,0002;2002
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;48;0,0038;2002
ALMOXARIFE;9;0,0007;2002
JOALHEIROS E OURIVES;3;0,0002;2002
SENADOR, DEPUTADO E VEREADOR;733;0,0576;2002
PEDAGOGO;34;0,0027;2002
DIRETOR DE ESTABELECIMENTO DE ENSINO;6;0,0005;2002
MECANICO DE MANUTENCAO;40;0,0031;2002
AGENTE ADMINISTRATIVO;65;0,0051;2002
TERAPEUTA;4;0,0003;2002
JORNALEIRO;2;0,0002;2002
AGRONOMO;49;0,0038;2002
PSICOLOGO;19;0,0015;2002
TRABALHADOR METALURGICO E SIDERURGICO;15;0,0012;2002
MOTOBOY;4;0,0003;2002
MUSICO;23;0,0018;2002
ATLETA PROFISSIONAL E TECNICO EM DESPORTOS;10;0,0008;2002
ESTIVADOR, CARREGADOR, EMBALADOR E ASSEMELHADOS;1;0,0001;2002
HISTORIADOR;4;0,0003;2002
OPERADOR DE APARELHOS DE PRODUCAO INDUSTRIAL;6;0,0005;2002
GARIMPEIRO;3;0,0002;2002
PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;6;0,0005;2002
TRABALHADOR EM ATIVIDADE DE PROCESSAMENTO QUIMICO;2;0,0002;2002
CHAVEIRO;1;0,0001;2002
PROFESSOR DE ENSINO SUPERIOR;169;0,0133;2002
SERVIDOR PUBLICO ESTADUAL;428;0,0336;2002
DONA DE CASA;67;0,0053;2002
MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;95;0,0075;2002
ESTOFADOR;2;0,0002;2002
FARMACEUTICO;23;0,0018;2002
PROFESSOR E INSTRUTOR DE FORMACAO PROFISSIONAL;42;0,0033;2002
TAXISTA E MOTORISTA PARTICULAR;24;0,0019;2002
ARTISTA DE CIRCO;5;0,0004;2002
SERRALHEIRO;7;0,0005;2002
ANTROPOLOGO;2;0,0002;2002
BOMBEIRO CIVIL;2;0,0002;2002
FUNILEIRO;1;0,0001;2002
ADVOGADO;881;0,0692;2002
SERVIDOR PUBLICO CIVIL APOSENTADO;86;0,0068;2002
PRODUTOR AGROPECUARIO;44;0,0035;2002
TRABALHADOR DE ARTES GRAFICAS;9;0,0007;2002
AGRICULTOR;162;0,0127;2002
COMUNICOLOGO;11;0,0009;2002
TRABALHADOR DE CONSTRUCAO CIVIL;42;0,0033;2002
SERVENTUARIO DE JUSTICA;31;0,0024;2002
TECNICO DE MECANICA;10;0,0008;2002
NUTRICIONISTA E TRABALHADOR ASSEMELHADO;5;0,0004;2002
QUIMICO;5;0,0004;2002
MEMBRO DO MINISTERIO PUBLICO;5;0,0004;2002
BOMBEIRO E INSTALADOR DE GAS, AGUA, ESGOTO E ASSEMELHADOS;2;0,0002;2002
SERVIDOR PUBLICO FEDERAL;207;0,0163;2002
ENGENHEIRO;261;0,0205;2002
TECNICO EM AGRONOMIA E AGRIMENSURA;16;0,0013;2002
OCUPANTE DE CARGO EM COMISSAO;11;0,0009;2002
DESENHISTA;9;0,0007;2002
SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS;12;0,0009;2002
DECORADOR;6;0,0005;2002
EMPREGADO DOMESTICO;5;0,0004;2002
LANTERNEIRO E PINTOR DE VEICULOS;3;0,0002;2002
OPERADOR DE EQUIP DE RADIO TELEV E DE SONORIZACAO E PROJECOES CINEMAT;4;0,0003;2002
AGENTE DE VIAGEM E GUIA DE TURISMO;6;0,0005;2002
MESTRE E CONTRAMESTRE DE EMBARCACAO;1;0,0001;2002
TRABALHADOR DOS SERVICOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;2;0,0002;2002
GARI OU LIXEIRO;1;0,0001;2002
BANCARIO E ECONOMIARIO;92;0,0072;2002
COMERCIARIO;78;0,0061;2002
ESCULTOR, PINTOR, ARTISTA PLASTICO E ASSEMELHADOS;11;0,0009;2002
PARAMEDICO;2;0,0002;2002
GARCOM;10;0,0008;2002
FONOAUDIOLOGO;4;0,0003;2002
JARDINEIRO;2;0,0002;2002
BIBLIOTECARIO, ARQUIVISTA, MUSEOLOGO E ARQUEOLOGO;1;0,0001;2002
TAPECEIRO;1;0,0001;2002
ECONOMISTA;84;0,0066;2002
ELETRICISTA E ASSEMELHADOS;32;0,0025;2002
TECNICO DE QUIMICA;5;0,0004;2002
BOMBEIRO MILITAR;22;0,0017;2002
RELACOES PUBLICAS;9;0,0007;2002
PROTETICO;13;0,001;2002
PILOTO DE AVIACAO COMERCIAL, NAVEGADOR, MECANICO DE VOO E ASSEMELHADOS;6;0,0005;2002
GERENTE;34;0,0027;2002
PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;576;0,0452;2002
ARQUITETO;26;0,002;2002
ODONTOLOGO;73;0,0057;2002
ADMINISTRADOR;163;0,0128;2002
VETERINARIO;31;0,0024;2002
BIOLOGO E BIOMEDICO;16;0,0013;2002
POLICIAL CIVIL;89;0,007;2002
MEMBRO DAS FORCAS ARMADAS;33;0,0026;2002
TECNICO DE OBRAS CIVIS, ESTRADAS, SANEAMENTO E TRABALHADOR ASSEMELHADO;9;0,0007;2002
COBRADOR DE TRANSPORTE COLETIVO;6;0,0005;2002
ZOOTECNISTA;5;0,0004;2002
DETETIVE PARTICULAR;4;0,0003;2002
TRABALHADOR DE FABRICACAO DE CALCADOS E ARTEFATOS DE COURO;3;0,0002;2002
INDUSTRIAL;41;0,0032;2002
