Ocupação;Quantitativo;Porcentagem;Ano
ATLETA PROFISSIONAL E TECNICO EM DESPORTOS;5;0,001;2002
MUSICO;7;0,0014;2002
PSICOLOGO;11;0,0022;2002
FISICO;1;0,0002;2002
MOTOBOY;2;0,0004;2002
TRABALHADOR METALURGICO E SIDERURGICO;6;0,0012;2002
GARIMPEIRO;1;0,0002;2002
ESTIVADOR, CARREGADOR, EMBALADOR E ASSEMELHADOS;1;0,0002;2002
PRESIDENTE DA REPUBLICA, MINISTRO DE ESTADO, GOVERNADOR E PREFEITO;1;0,0002;2002
HISTORIADOR;1;0,0002;2002
SERVIDOR PUBLICO ESTADUAL;140;0,0286;2002
PROFESSOR E INSTRUTOR DE FORMACAO PROFISSIONAL;10;0,002;2002
FARMACEUTICO;10;0,002;2002
PROFESSOR DE ENSINO SUPERIOR;75;0,0153;2002
MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;28;0,0057;2002
DONA DE CASA;16;0,0033;2002
TAXISTA E MOTORISTA PARTICULAR;8;0,0016;2002
ANTROPOLOGO;5;0,001;2002
TRABALHADOR DE MINAS E PEDREIRAS, SONDADOR E TRABALHADOR ASSEMELHADO;2;0,0004;2002
SERRALHEIRO;5;0,001;2002
TRABALHADOR DE FABRICACAO DE PRODUTOS DE BORRACHA E PLASTICO;1;0,0002;2002
ADVOGADO;522;0,1065;2002
AGRICULTOR;51;0,0104;2002
SERVIDOR PUBLICO CIVIL APOSENTADO;48;0,0098;2002
PRODUTOR AGROPECUARIO;12;0,0024;2002
COMUNICOLOGO;2;0,0004;2002
TRABALHADOR DE CONSTRUCAO CIVIL;11;0,0022;2002
TRABALHADOR DE ARTES GRAFICAS;4;0,0008;2002
SERVENTUARIO DE JUSTICA;7;0,0014;2002
MEMBRO DO MINISTERIO PUBLICO;6;0,0012;2002
OPERADOR DE IMPLEMENTO DE AGRICULTURA, PECUARIA E EXPLORACAO FLORESTAL;1;0,0002;2002
NUTRICIONISTA E TRABALHADOR ASSEMELHADO;1;0,0002;2002
TECNICO DE MECANICA;3;0,0006;2002
TECNICO DE BIOLOGIA;1;0,0002;2002
SERVIDOR PUBLICO FEDERAL;129;0,0263;2002
ENGENHEIRO;119;0,0243;2002
SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS;2;0,0004;2002
DESENHISTA;7;0,0014;2002
EMPREGADO DOMESTICO;2;0,0004;2002
TECNICO EM AGRONOMIA E AGRIMENSURA;6;0,0012;2002
OCUPANTE DE CARGO EM COMISSAO;3;0,0006;2002
DECORADOR;1;0,0002;2002
LANTERNEIRO E PINTOR DE VEICULOS;2;0,0004;2002
MODELO;1;0,0002;2002
AGENTE DE VIAGEM E GUIA DE TURISMO;2;0,0004;2002
ASTRONOMO;1;0,0002;2002
