UF;Cor/raça;Quantitativo;Porcentagem;Data de carga
PI;Preta;193;0,0745;2025-05-19 16:30:25
AM;Não Informado;3;0,0034;2025-05-19 16:30:25
BA;Amarela;13;0,0024;2025-05-19 16:30:25
MS;Preta;62;0,0617;2025-05-19 16:30:25
SC;Indígena;8;0,0023;2025-05-19 16:30:25
ES;Parda;334;0,3268;2025-05-19 16:30:25
MA;Branca;777;0,2805;2025-05-19 16:30:25
AP;Parda;137;0,665;2025-05-19 16:30:25
MT;Preta;121;0,0717;2025-05-19 16:30:25
PA;Parda;1365;0,6718;2025-05-19 16:30:25
PI;Amarela;15;0,0058;2025-05-19 16:30:25
PR;Amarela;11;0,0024;2025-05-19 16:30:25
RO;Amarela;4;0,0063;2025-05-19 16:30:25
BA;Parda;3280;0,6051;2025-05-19 16:30:25
MA;Não Informado;36;0,013;2025-05-19 16:30:25
MG;Amarela;43;0,0042;2025-05-19 16:30:25
PE;Preta;166;0,0661;2025-05-19 16:30:25
SP;Amarela;47;0,0057;2025-05-19 16:30:25
AC;Parda;204;0,7158;2025-05-19 16:30:25
AL;Indígena;8;0,0062;2025-05-19 16:30:25
CE;Indígena;6;0,0023;2025-05-19 16:30:25
CE;Preta;83;0,0325;2025-05-19 16:30:25
GO;Parda;1386;0,4758;2025-05-19 16:30:25
MS;Amarela;7;0,007;2025-05-19 16:30:25
MT;Parda;846;0,5012;2025-05-19 16:30:25
RO;Preta;60;0,0948;2025-05-19 16:30:25
RR;Parda;132;0,6911;2025-05-19 16:30:25
RS;Amarela;1;0,0002;2025-05-19 16:30:25
SC;Branca;3229;0,922;2025-05-19 16:30:25
AM;Amarela;2;0,0023;2025-05-19 16:30:25
MA;Preta;214;0,0773;2025-05-19 16:30:25
PB;Indígena;22;0,0083;2025-05-19 16:30:25
PE;Parda;1178;0,4691;2025-05-19 16:30:25
SE;Amarela;4;0,0043;2025-05-19 16:30:25
AC;Amarela;6;0,0211;2025-05-19 16:30:25
GO;Amarela;17;0,0058;2025-05-19 16:30:25
RS;Preta;129;0,0219;2025-05-19 16:30:25
SC;Não Informado;7;0,002;2025-05-19 16:30:25
AM;Branca;141;0,1617;2025-05-19 16:30:25
PB;Preta;140;0,053;2025-05-19 16:30:25
RJ;Amarela;1;0,0007;2025-05-19 16:30:25
AL;Não Informado;11;0,0085;2025-05-19 16:30:25
CE;Amarela;7;0,0027;2025-05-19 16:30:25
GO;Preta;188;0,0645;2025-05-19 16:30:25
MT;Branca;684;0,4052;2025-05-19 16:30:25
PR;Preta;176;0,0379;2025-05-19 16:30:25
RO;Indígena;1;0,0016;2025-05-19 16:30:25
RR;Indígena;12;0,0628;2025-05-19 16:30:25
AM;Parda;652;0,7477;2025-05-19 16:30:25
MG;Preta;781;0,0764;2025-05-19 16:30:25
PB;Branca;1243;0,4703;2025-05-19 16:30:25
RJ;Preta;104;0,0753;2025-05-19 16:30:25
RN;Preta;96;0,0483;2025-05-19 16:30:25
AL;Amarela;3;0,0023;2025-05-19 16:30:25
AP;Indígena;5;0,0243;2025-05-19 16:30:25
CE;Parda;1355;0,5305;2025-05-19 16:30:25
MS;Não Informado;1;0,001;2025-05-19 16:30:25
PA;Preta;177;0,0871;2025-05-19 16:30:25
PI;Branca;777;0,2999;2025-05-19 16:30:25
RR;Preta;9;0,0471;2025-05-19 16:30:25
RS;Não Informado;13;0,0022;2025-05-19 16:30:25
SC;Parda;204;0,0583;2025-05-19 16:30:25
ES;Indígena;2;0,002;2025-05-19 16:30:25
PB;Não Informado;11;0,0042;2025-05-19 16:30:25
PB;Parda;1217;0,4605;2025-05-19 16:30:25
PE;Branca;1105;0,4401;2025-05-19 16:30:25
TO;Branca;338;0,2122;2025-05-19 16:30:25
AC;Indígena;8;0,0281;2025-05-19 16:30:25
GO;Branca;1291;0,4432;2025-05-19 16:30:25
PA;Branca;462;0,2274;2025-05-19 16:30:25
RO;Branca;227;0,3586;2025-05-19 16:30:25
RO;Não Informado;3;0,0047;2025-05-19 16:30:25
MA;Amarela;7;0,0025;2025-05-19 16:30:25
SE;Parda;595;0,6384;2025-05-19 16:30:25
SP;Indígena;4;0,0005;2025-05-19 16:30:25
AL;Branca;516;0,3988;2025-05-19 16:30:25
RR;Branca;38;0,199;2025-05-19 16:30:25
RS;Parda;260;0,0442;2025-05-19 16:30:25
SC;Preta;53;0,0151;2025-05-19 16:30:25
AM;Indígena;47;0,0539;2025-05-19 16:30:25
AM;Preta;27;0,031;2025-05-19 16:30:25
BA;Não Informado;25;0,0046;2025-05-19 16:30:25
BA;Preta;734;0,1354;2025-05-19 16:30:25
RN;Branca;1045;0,5259;2025-05-19 16:30:25
RN;Parda;820;0,4127;2025-05-19 16:30:25
AP;Branca;41;0,199;2025-05-19 16:30:25
MS;Branca;599;0,596;2025-05-19 16:30:25
MS;Parda;321;0,3194;2025-05-19 16:30:25
MT;Amarela;16;0,0095;2025-05-19 16:30:25
PA;Indígena;9;0,0044;2025-05-19 16:30:25
PR;Branca;3574;0,7706;2025-05-19 16:30:25
RO;Parda;338;0,534;2025-05-19 16:30:25
ES;Preta;76;0,0744;2025-05-19 16:30:25
RJ;Branca;957;0,6925;2025-05-19 16:30:25
RN;Não Informado;10;0,005;2025-05-19 16:30:25
SP;Não Informado;30;0,0036;2025-05-19 16:30:25
AL;Parda;711;0,5495;2025-05-19 16:30:25
PA;Não Informado;13;0,0064;2025-05-19 16:30:25
PI;Parda;1601;0,6179;2025-05-19 16:30:25
PR;Parda;836;0,1803;2025-05-19 16:30:25
SC;Amarela;1;0,0003;2025-05-19 16:30:25
MA;Indígena;7;0,0025;2025-05-19 16:30:25
MA;Parda;1729;0,6242;2025-05-19 16:30:25
PE;Amarela;3;0,0012;2025-05-19 16:30:25
RJ;Não Informado;3;0,0022;2025-05-19 16:30:25
RN;Amarela;15;0,0075;2025-05-19 16:30:25
SP;Parda;1481;0,1788;2025-05-19 16:30:25
MT;Não Informado;9;0,0053;2025-05-19 16:30:25
PR;Indígena;5;0,0011;2025-05-19 16:30:25
